File;Path;Type;Size;Size (octets);Modification;Creation;Owner;SID;NT account description;Attributes
Empty.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\html\lessons;Algodoo Scene Package;2,01 KiB;2059;28/03/2013 20.01.06;16/02/2018 01.18.58;<LocalSystemSid>;S-1-5-18;;---AC------
Optics.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\html\lessons;Algodoo Scene Package;1,92 KiB;1970;28/03/2013 20.01.06;16/02/2018 01.18.58;<LocalSystemSid>;S-1-5-18;;---AC------
Algodoo Play.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes;Algodoo Scene Package;1,19 MiB;1249714;28/03/2013 20.01.06;16/02/2018 01.18.52;<LocalSystemSid>;S-1-5-18;;---AC------
Quick tour (touch).phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes;Algodoo Scene Package;314,38 KiB;321935;28/03/2013 20.01.06;16/02/2018 01.18.50;<LocalSystemSid>;S-1-5-18;;---AC------
Quick tour.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes;Algodoo Scene Package;275,49 KiB;282106;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Anti-gravity room.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;11,79 KiB;12080;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
buildingBlocks.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;57,39 KiB;58769;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Cause and effect.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;120,49 KiB;123390;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Classmate_Labyrinth (inverted).phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;53 KiB;54278;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
Classmate_Labyrinth.phz;D:\Hardisk burnt\joelwindows7\.wine\drive_c\Program Files (x86)\Algodoo\scenes\games & phun;Algodoo Scene Package;84,99 KiB;87037;28/03/2013 20.01.06;16/02/2018 01.18.51;<LocalSystemSid>;S-1-5-18;;---AC------
